id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1541941,['Yellow hatpins'],Syngonanthus flavidulus,(Michx.) Ruhland,2689846.0,248224-2,
1396210,"['Sticky groundsel', 'Sticky ragwort', 'Stinking Groundsel', 'Sticky Groudsel', 'Viscid Groundsel']",Senecio viscosus,L.,3107855.0,248231-1,
1364138,"['Groundsel', 'Common Groundsel', 'Old-man-in-the-Spring', 'Common fireweed', 'Commungroundsel', 'Ground Glutton', 'Common Ragwort', 'Grundy Swallow', 'Ragwort Groundsel', 'Flower of st. Macarius', 'Жабља трава', 'Stammastalks', 'Hierba cana']",Senecio vulgaris,L.,3108983.0,248251-1,
1401641,[],Syngonanthus umbellatus,(Lam.) Ruhland,2689981.0,248391-2,
1466836,[],Syngonium chiapense,Matuda,2867846.0,248433-2,
1466840,[],Syngonium erythrophyllum,Birdsey ex G.S.Bunting,2867864.0,248438-2,
1466849,[],Syngonium macrophyllum,Engl.,2867859.0,248443-2,
1466859,[],Syngonium standleyanum,G.S.Bunting,2867851.0,248461-2,
1521192,[],Seriphium cinereum,L.,7551638.0,248484-1,
1374229,"['Bankrupt bush', 'Zigzag bush']",Seriphium plumosum,L.,3151373.0,248506-1,
1530709,"['Manatee grass', 'Eelgrass']",Syringodium filiforme,Kütz.,7982798.0,248576-2,LC
1521207,[],Serratula coronata,L.,5388858.0,248634-1,
1388715,"['White-cedar', 'Pink manjack', 'Pink trumpet-tree', 'Whitewood', 'Roble Blanco', 'Cuban Pink Trumpet Tree', 'Pink Cedar', 'West Indies cedar', 'Roble-Prieto']",Tabebuia heterophylla,(DC.) Britton,3172526.0,248689-2,LC
1407198,[],Tabebuia insignis,(Miq.) Sandwith,7298607.0,248703-2,NT
1476995,['White ipê'],Tabebuia roseoalba,(Ridl.) Sandwith,4091431.0,248789-2,NT
1712158,[],Tabernaemontana arborea,Rose,8416120.0,248839-2,LC
1463038,[],Tabernaemontana attenuata,(Miers) Urb.,3618887.0,248841-2,
1463055,[],Tabernaemontana disticha,A.DC.,3617763.0,248856-2,LC
1712159,['Cojones de burro'],Tabernaemontana donnell-smithii,Rose,7453469.0,248857-2,LC
1357870,"[""Dyer's plumeless saw-wort"", 'Saw-wort']",Serratula tinctoria,L.,5388835.0,248861-1,
1406776,[],Tabernaemontana longipes,Donn.Sm.,3616346.0,248876-2,LC
1422652,[],Astragalus garbancillo,Cav.,5342858.0,24888-2,
1407330,[],Tachia grandiflora,Maguire & Weaver,7269905.0,248941-2,
1587036,[],Tachigali versicolor,Standl. & L.O.Williams,2945191.0,248978-2,EN
1439132,"[""Gibbs' milkvetch""]",Astragalus gibbsii,Kellogg,5347343.0,24901-2,
1413993,"['Golden Alexander', 'Yellow-pimpernel', 'Yellow Pimpernell']",Taenidia integerrima,(L.) Drude,5371759.0,249038-2,
1521252,[],Sigesbeckia jorullensis,Kunth,3125893.0,249077-1,
1364147,"['Indian-weed', 'Stickyweed', ""Eastern St. Paul's-wort"", ""Eastern St Paul's-wort"", 'Yellow Crown-head', ""Common St. Paul's wort"", 'Oriental Siegesbeckia', 'Siegesbeckia', 'Sigesbeckia']",Sigesbeckia orientalis,L.,3125901.0,249084-1,
1396266,"[""Western St Paul's-wort"", ""Western Saint-Paul's-wort""]",Sigesbeckia serrata,DC.,3125895.0,249087-1,
1521249,[],Sigesbeckia glabrescens,(Makino) Makino,3125899.0,249096-1,
1521257,[],Sigesbeckia pubescens,(Makino) Makino,6063463.0,249098-1,
1522391,[],Tagetes riojana,M.Ferraro,3088565.0,249105-2,
1521263,['White rosinweed'],Silphium albiflorum,A.Gray,3092574.0,249110-1,
1438295,['Starry rosinweed'],Silphium asteriscus,L.,3092582.0,249115-1,
1438304,"['Roughleaf rosinweed', 'Roughstem rosinweed', 'Starry rosinweed']",Silphium radula,Nutt.,3092565.0,249173-1,
1357871,['Silver Milk Thistle'],Silybum eburneum,Coss. & Durieu,3145226.0,249205-1,
1364100,"['Milk-thistle', 'Variegated artichoke', 'Variegated thistle', 'Bull thistle', 'Holy thistle', 'Blessed milk thistle', 'Gundagai thistle', ""Lady's thistle"", 'Blessed milkthistle', 'Spotted Thistle', 'Blessed Thistle', 'Cabbage Thistle', ""Our Lady'S Milk Thistle"", ""St. Mary's thistle"", 'خار مریم', 'ماری تیغال  یا  خار مریم']",Silybum marianum,(L.) Gaertn.,3145214.0,249211-1,LC
1403464,[],Talisia furfuracea,Sandwith,3788313.0,249225-2,
1521276,[],Simsia dombeyana,DC.,5402140.0,249226-1,
1686494,[],Talisia nervosa,Radlk.,3788079.0,249235-2,LC
1406148,[],Talisia simaboides,K.U.Kramer,3787909.0,249246-2,
1396509,"['Costmary', 'Daisy', 'Alecost or Balsam Herb', 'Alecost', 'Costmary Chrysanthemum', 'Mint Geranium', ""St. Mary's Tanacetum"", 'Costus of St. Mary', 'Bible Leaf']",Tanacetum balsamita,L.,3118254.0,249302-2,
1413840,"['Forest goldenrod', 'Toothed goldenrod', 'Atlantic goldenrod', 'Cut-Leaf Goldenrod', 'Cut-Leaved Goldenrod', 'Sharp-Leaved Goldenrod']",Solidago arguta,Aiton,5388878.0,249413-1,
1404808,[],Tapura singularis,Ducke,4195657.0,249442-2,
1722509,['Spiny holdback'],Tara spinosa,(Molina) Britton & Rose,5354727.0,249443-2,
1396336,"['Goldenrod', 'Canadian Goldenrod', 'Canada goldenrod', 'Fersovich', 'Gullris', ""Harger's goldenrod"", 'Zeltgalvītes (LVL)', 'Rykštenė', 'Kanadai aranyvessző', 'Holmes, P.', 'Sânziană de grădină', 'Nawloc']",Solidago canadensis,L.,5389029.0,249454-1,
1595748,[],Tarasa humilis,(Gillies ex Hook. & Arn.) Krapov.,3936835.0,249465-2,
1521427,['Chilean solidago'],Solidago chilensis,Meyen,5389072.0,249473-1,
1422784,[],Tarasa tenella,(Cav.) Krapov.,3936669.0,249480-2,
1521432,[],Solidago decurrens,Lour.,5388989.0,249513-1,
1522885,"['Fleshy dandelion', 'Pink dandelion', 'Flesh-coloured dandelion']",Taraxacum carneocoloratum,A.Nelson,5394284.0,249514-2,
1362499,"['Rock dandelion', 'Red-Seeded Dandelion', 'Dandelion']",Taraxacum erythrospermum,Andrz. ex Besser,5393872.0,249536-2,
1438414,"['Pine barren goldenrod', 'Hollow goldenrod']",Solidago fistulosa,Mill.,5389106.0,249552-1,
1396337,"['Tall goldenrod', 'Giant goldenrod', 'Early goldenrod', 'Smooth goldenrod', 'Late goldenrod', 'Tall Or Giant Or Smooth Goldenrod', 'Magas aranyvessző (Hu)', 'Missouri Goldenrod', 'Garās Zeltmatītes (LVL)', 'Goldenrod', 'Giant Solidago', 'Tall Solidago', 'Iron weed ?', 'Obedient plant']",Solidago gigantea,Aiton,5389017.0,249575-1,
1413847,"['Hairy Goldenrod', 'Pale Goldenrod', 'Shaggy Goldenrod', 'Upland Goldenrod']",Solidago hispida,Muhl. ex Willd.,5388956.0,249615-1,
1413848,"['Plume goldenrod', 'Goldenrod', 'Early goldenrod', 'Sharp-Toothed Goldenrod', 'Smooth Goldenrod']",Solidago juncea,Aiton,5389083.0,249633-1,
1413849,"[""Elliott's Goldenrod"", 'Coastal Goldenrod', 'Coastal swamp goldenrod']",Solidago latissimifolia,Mill.,5388970.0,249656-1,LC
1458851,['Southern umbrellawort'],Tauschia arguta,(Torr. & A.Gray) J.F.Macbr.,5371831.0,249674-2,
1521456,"['Largeleaf goldenrod', 'Large-Leaved Goldenrod']",Solidago macrophylla,Banks ex Pursh,5388994.0,249685-1,
